 236.22 	 422.36 
 236.68 	 379.43 
 237.15 	 415.92 
 237.61 	 362.25 
 238.07 	 399.99 
 238.54 	 351.18 
 239.00 	 446.32 
 239.46 	 385.53 
 239.93 	 384.51 
 240.39 	 311.74 
 240.85 	 334.91 
 241.32 	 430.50 
 241.78 	 314.23 
 242.24 	 388.69 
 242.71 	 331.63 
 243.17 	 364.28 
 243.63 	 407.90 
 244.10 	 387.90 
 244.56 	 328.80 
 245.02 	 379.65 
 245.48 	 389.93 
 245.95 	 348.24 
 246.41 	 328.24 
 246.87 	 363.04 
 247.33 	 360.33 
 247.80 	 405.87 
 248.26 	 321.57 
 248.72 	 440.10 
 249.18 	 356.37 
 249.64 	 349.37 
 250.11 	 270.16 
 250.57 	 368.69 
 251.03 	 305.75 
 251.49 	 397.39 
 251.95 	 275.02 
 252.42 	 434.56 
 252.88 	 351.74 
 253.34 	 357.17 
 253.80 	 407.67 
 254.26 	 382.59 
 254.73 	 260.11 
 255.19 	 358.86 
 255.65 	 341.91 
 256.11 	 371.97 
 256.57 	 306.77 
 257.03 	 292.87 
 257.49 	 334.12 
 257.95 	 369.14 
 258.42 	 345.41 
 258.88 	 357.05 
 259.34 	 386.20 
 259.80 	 344.85 
 260.26 	 354.34 
 260.72 	 307.22 
 261.18 	 382.59 
 261.64 	 357.96 
 262.10 	 317.62 
 262.56 	 364.28 
 263.03 	 391.40 
 263.49 	 323.04 
 263.95 	 283.83 
 264.41 	 334.12 
 264.87 	 388.13 
 265.33 	 288.58 
 265.79 	 386.43 
 266.25 	 348.47 
 266.71 	 301.80 
 267.17 	 337.84 
 267.63 	 335.47 
 268.09 	 294.46 
 268.55 	 331.18 
 269.01 	 358.97 
 269.47 	 339.09 
 269.93 	 342.48 
 270.39 	 357.50 
 270.85 	 345.87 
 271.31 	 324.29 
 271.77 	 306.88 
 272.23 	 372.65 
 272.69 	 366.09 
 273.15 	 294.46 
 273.61 	 306.66 
 274.07 	 380.55 
 274.53 	 356.04 
 274.98 	 326.32 
 275.44 	 351.40 
 275.90 	 294.12 
 276.36 	 287.56 
 276.82 	 328.01 
 277.28 	 339.20 
 277.74 	 256.83 
 278.20 	 351.06 
 278.66 	 318.07 
 279.12 	 362.93 
 279.58 	 359.65 
 280.03 	 325.64 
 280.49 	 306.32 
 280.95 	 322.70 
 281.41 	 544.51 
 281.87 	 334.91 
 282.33 	 355.13 
 282.79 	 319.54 
 283.24 	 336.04 
 283.70 	 313.89 
 284.16 	 247.00 
 284.62 	 270.39 
 285.08 	 263.04 
 285.54 	 301.69 
 285.99 	 366.54 
 286.45 	 336.60 
 286.91 	 404.85 
 287.37 	 309.71 
 287.83 	 404.06 
 288.28 	 317.73 
 288.74 	 381.35 
 289.20 	 268.35 
 289.66 	 279.31 
 290.11 	 313.55 
 290.57 	 289.14 
 291.03 	 330.27 
 291.49 	 308.13 
 291.94 	 372.76 
 292.40 	 294.34 
 292.86 	 338.64 
 293.32 	 303.04 
 293.77 	 338.41 
 294.23 	 348.24 
 294.69 	 301.12 
 295.14 	 333.55 
 295.60 	 336.04 
 296.06 	 348.80 
 296.52 	 390.61 
 296.97 	 369.82 
 297.43 	 299.31 
 297.89 	 281.24 
 298.34 	 306.09 
 298.80 	 352.99 
 299.26 	 322.14 
 299.71 	 364.96 
 300.17 	 294.91 
 300.62 	 349.14 
 301.08 	 322.14 
 301.54 	 340.33 
 301.99 	 360.22 
 302.45 	 420.78 
 302.91 	 352.31 
 303.36 	 299.31 
 303.82 	 287.45 
 304.27 	 321.01 
 304.73 	 342.25 
 305.19 	 343.15 
 305.64 	 328.35 
 306.10 	 326.32 
 306.55 	 303.16 
 307.01 	 334.79 
 307.46 	 411.74 
 307.92 	 312.53 
 308.38 	 358.18 
 308.83 	 362.36 
 309.29 	 327.68 
 309.74 	 304.06 
 310.20 	 288.13 
 310.65 	 271.74 
 311.11 	 340.89 
 311.56 	 335.58 
 312.02 	 303.04 
 312.47 	 304.51 
 312.93 	 352.53 
 313.38 	 338.86 
 313.84 	 300.11 
 314.29 	 342.48 
 314.75 	 308.01 
 315.20 	 338.41 
 315.66 	 314.00 
 316.11 	 362.14 
 316.57 	 260.78 
 317.02 	 292.99 
 317.48 	 377.39 
 317.93 	 302.70 
 318.38 	 289.82 
 318.84 	 270.61 
 319.29 	 323.61 
 319.75 	 281.46 
 320.20 	 343.61 
 320.66 	 299.31 
 321.11 	 275.92 
 321.56 	 387.11 
 322.02 	 320.10 
 322.47 	 348.24 
 322.92 	 259.65 
 323.38 	 335.47 
 323.83 	 295.70 
 324.29 	 236.72 
 324.74 	 288.24 
 325.19 	 305.42 
 325.65 	 291.29 
 326.10 	 285.08 
 326.55 	 314.68 
 327.01 	 323.38 
 327.46 	 284.85 
 327.91 	 326.88 
 328.37 	 295.81 
 328.82 	 300.22 
 329.27 	 263.38 
 329.73 	 259.43 
 330.18 	 243.38 
 330.63 	 268.81 
 331.09 	 321.91 
 331.54 	 338.86 
 331.99 	 349.37 
 332.44 	 259.20 
 332.90 	 335.36 
 333.35 	 324.51 
 333.80 	 335.25 
 334.25 	 351.29 
 334.71 	 279.77 
 335.16 	 309.37 
 335.61 	 295.47 
 336.06 	 320.22 
 336.52 	 284.29 
 336.97 	 301.01 
 337.42 	 338.30 
 337.87 	 316.15 
 338.32 	 303.95 
 338.78 	 329.71 
 339.23 	 268.24 
 339.68 	 345.53 
 340.13 	 277.85 
 340.58 	 351.18 
 341.04 	 290.95 
 341.49 	 288.69 
 341.94 	 321.46 
 342.39 	 280.11 
 342.84 	 276.26 
 343.29 	 265.53 
 343.74 	 324.40 
 344.20 	 246.43 
 344.65 	 279.77 
 345.10 	 295.25 
 345.55 	 253.55 
 346.00 	 245.87 
 346.45 	 368.35 
 346.90 	 279.20 
 347.35 	 302.36 
 347.80 	 319.99 
 348.26 	 262.59 
 348.71 	 264.40 
 349.16 	 297.85 
 349.61 	 316.60 
 350.06 	 277.39 
 350.51 	 319.99 
 350.96 	 276.72 
 351.41 	 285.87 
 351.86 	 303.16 
 352.31 	 296.72 
 352.76 	 293.55 
 353.21 	 289.37 
 353.66 	 282.25 
 354.11 	 272.99 
 354.56 	 288.35 
 355.01 	 310.73 
 355.46 	 287.56 
 355.91 	 298.30 
 356.36 	 283.04 
 356.81 	 266.77 
 357.26 	 346.88 
 357.71 	 308.69 
 358.16 	 368.01 
 358.61 	 307.79 
 359.06 	 258.07 
 359.51 	 318.41 
 359.96 	 302.93 
 360.41 	 261.91 
 360.86 	 238.75 
 361.31 	 314.91 
 361.76 	 255.47 
 362.21 	 231.29 
 362.66 	 323.38 
 363.10 	 288.58 
 363.55 	 203.61 
 364.00 	 208.81 
 364.45 	 300.44 
 364.90 	 336.71 
 365.35 	 317.17 
 365.80 	 228.24 
 366.25 	 301.80 
 366.70 	 221.24 
 367.14 	 264.85 
 367.59 	 252.99 
 368.04 	 282.03 
 368.49 	 309.14 
 368.94 	 232.31 
 369.39 	 208.02 
 369.83 	 280.56 
 370.28 	 197.28 
 370.73 	 270.84 
 371.18 	 340.33 
 371.63 	 205.08 
 372.08 	 214.91 
 372.52 	 228.81 
 372.97 	 302.70 
 373.42 	 221.80 
 373.87 	 257.62 
 374.31 	 275.36 
 374.76 	 303.04 
 375.21 	 250.95 
 375.66 	 302.03 
 376.11 	 314.00 
 376.55 	 218.86 
 377.00 	 298.30 
 377.45 	 263.27 
 377.89 	 238.19 
 378.34 	 282.93 
 378.79 	 251.18 
 379.24 	 353.10 
 379.68 	 254.57 
 380.13 	 305.98 
 380.58 	 244.06 
 381.02 	 263.16 
 381.47 	 280.11 
 381.92 	 309.48 
 382.37 	 290.95 
 382.81 	 231.86 
 383.26 	 266.77 
 383.71 	 273.10 
 384.15 	 259.43 
 384.60 	 245.98 
 385.04 	 287.34 
 385.49 	 301.46 
 385.94 	 302.70 
 386.38 	 296.04 
 386.83 	 309.48 
 387.28 	 290.50 
 387.72 	 313.78 
 388.17 	 320.90 
 388.61 	 289.14 
 389.06 	 260.22 
 389.51 	 283.04 
 389.95 	 354.91 
 390.40 	 313.55 
 390.84 	 267.34 
 391.29 	 304.29 
 391.74 	 256.38 
 392.18 	 239.99 
 392.63 	 227.45 
 393.07 	 344.17 
 393.52 	 279.99 
 393.96 	 344.17 
 394.41 	 239.09 
 394.85 	 340.10 
 395.30 	 258.30 
 395.74 	 326.32 
 396.19 	 295.47 
 396.63 	 265.64 
