# Emission
# Column format:
# Wavelength (nm)	Emission angle (deg)	C+ (W*m^-2*sr^-1*nm^-1)	
4.620000E2	6.200000E1	1.577959E-6
4.620000E2	6.400000E1	1.565260E-6
4.620000E2	6.600000E1	1.547995E-6
4.620000E2	6.800000E1	1.523942E-6
4.620000E2	7.000000E1	1.490362E-6
4.620000E2	7.200000E1	1.443757E-6
4.620000E2	7.400000E1	1.379580E-6
4.620000E2	7.600000E1	1.291923E-6
4.620000E2	7.800000E1	1.173386E-6
4.620000E2	8.000000E1	1.015659E-6
4.640000E2	0.000000E0	4.347206E-6
4.640000E2	2.000000E0	4.340931E-6
4.640000E2	4.000000E0	4.322168E-6
4.640000E2	6.000000E0	4.291097E-6
4.640000E2	8.000000E0	4.248021E-6
4.640000E2	1.000000E1	4.193357E-6
4.640000E2	1.200000E1	4.127634E-6
4.640000E2	1.400000E1	4.051488E-6
4.640000E2	1.600000E1	3.965650E-6
4.640000E2	1.800000E1	3.870942E-6
4.640000E2	2.000000E1	3.768265E-6
4.640000E2	2.200000E1	3.658592E-6
4.640000E2	2.400000E1	3.542973E-6
4.640000E2	2.600000E1	3.422555E-6
4.640000E2	2.800000E1	3.298654E-6
4.640000E2	3.000000E1	3.172938E-6
4.640000E2	3.200000E1	3.047897E-6
4.640000E2	3.400000E1	2.928131E-6
4.640000E2	3.600000E1	2.824402E-6
4.640000E2	3.800000E1	2.770245E-6
4.640000E2	4.000000E1	2.941896E-6
4.640000E2	4.200000E1	3.920852E-6
4.640000E2	4.400000E1	2.918656E-6
4.640000E2	4.600000E1	2.576615E-6
4.640000E2	4.800000E1	2.418579E-6
4.640000E2	5.000000E1	2.332300E-6
4.640000E2	5.200000E1	2.279394E-6
4.640000E2	5.400000E1	2.243917E-6
4.640000E2	5.600000E1	2.218077E-6
4.640000E2	5.800000E1	2.197367E-6
4.640000E2	6.000000E1	2.178656E-6
4.640000E2	6.200000E1	2.159343E-6
4.640000E2	6.400000E1	2.136921E-6
4.640000E2	6.600000E1	2.108701E-6
4.640000E2	6.800000E1	2.071568E-6
4.640000E2	7.000000E1	2.021715E-6
4.640000E2	7.200000E1	1.954333E-6
4.640000E2	7.400000E1	1.863224E-6
4.640000E2	7.600000E1	1.740431E-6
4.640000E2	7.800000E1	1.576124E-6
4.640000E2	8.000000E1	1.359531E-6
4.660000E2	0.000000E0	4.049262E-6
4.660000E2	2.000000E0	4.043304E-6
4.660000E2	4.000000E0	4.025488E-6
4.660000E2	6.000000E0	3.995988E-6
4.660000E2	8.000000E0	3.955093E-6
4.660000E2	1.000000E1	3.903202E-6
4.660000E2	1.200000E1	3.840823E-6
4.660000E2	1.400000E1	3.768568E-6
4.660000E2	1.600000E1	3.687143E-6
4.660000E2	1.800000E1	3.597341E-6
4.660000E2	2.000000E1	3.500035E-6
4.660000E2	2.200000E1	3.396170E-6
4.660000E2	2.400000E1	3.286765E-6
4.660000E2	2.600000E1	3.172931E-6
4.660000E2	2.800000E1	3.055938E-6
4.660000E2	3.000000E1	2.937376E-6
4.660000E2	3.200000E1	2.819590E-6
4.660000E2	3.400000E1	2.706858E-6
4.660000E2	3.600000E1	2.609130E-6
4.660000E2	3.800000E1	2.557360E-6
4.660000E2	4.000000E1	2.714516E-6
4.660000E2	4.200000E1	3.698002E-6
4.660000E2	4.400000E1	2.758959E-6
